Player,Team,Age,Total Value,Avg./Year,Total Guaranteed,Fully Guarenteed,Free Agency
Joe Burrow,Bengals,28,"275,000,000 ","55,000,000 ","219,010,000 ","146,510,000 ",2030 Void
Justin Herbert,Chargers,26,"262,500,000 ","52,500,000 ","193,738,375 ","133,738,375 ",2030 UFA
Lamar Jackson,Ravens,27,"260,000,000 ","52,000,000 ","185,000,000 ","135,000,000 ",2028 Void
Jalen Hurts,Eagles,26,"255,000,000 ","51,000,000 ","179,304,000 ","110,000,000 ",2029 Void
Kyler Murray,Cardinals,27,"230,500,000 ","46,100,000 ","160,000,000 ","103,300,000 ",2029 UFA
Deshaun Watson,Browns,29,"230,000,000 ","46,000,000 ","230,000,000 ","230,000,000 ",2027 Void
Kirk Cousins,Falcons,36,"180,000,000 ","45,000,000 ","100,000,000 ","90,000,000 ",2028 UFA
Patrick Mahomes,Chiefs,29,"450,000,000 ","45,000,000 ","141,000,000 ","63,081,905 ",2032 Void
Josh Allen,Bills,28,"258,000,000 ","43,000,000 ","150,000,000 ","100,000,000 ",2029 UFA
Matt Stafford,Rams,36,"160,000,000 ","40,000,000 ","120,000,000 ","63,000,000 ",2027 UFA
Dak Prescott,Cowboys,31,"160,000,000 ","40,000,000 ","126,000,000 ","95,000,000 ",2025 Void
Daniel Jones,Giants,27,"160,000,000 ","40,000,000 ","104,000,000 ","81,000,000 ",2027 UFA
Aaron Rodgers,Jets,41,"112,500,000 ","37,500,000 ","75,000,000 ","75,000,000 ",2026 Void
Derek Carr,Saints,33,"150,000,000 ","37,500,000 ","100,000,000 ","60,000,000 ",2027 Void
Jared Goff,Lions,30,"134,000,000 ","33,500,000 ","110,042,682 ","57,042,682 ",2025 UFA
Baker Mayfield,Buccaneers,29,"100,000,000 ","33,333,333 ","50,000,000 ","40,000,000 ",2027 Void
Geno Smith,Seahawks,34,"75,000,000 ","25,000,000 ","40,000,000 ","27,300,000 ",2026 UFA
Jordan Love,Packers,26,"13,500,000 ","13,500,000 ","13,000,000 ","13,000,000 ",2025 Void
Gardner Minshew,Raiders,28,"25,000,000 ","12,500,000 ","15,000,000 ","15,000,000 ",2026 Void
Sam Darnold,Vikings,27,"10,000,000 ","10,000,000 ","8,750,000 ","8,750,000 ",2025 Void
Bryce Young,Panthers,23,"37,955,074 ","9,488,769 ","37,955,074 ","37,955,074 ",2027 UFA
Trevor Lawrence,Jaguars,25,"36,793,486 ","9,198,372 ","36,783,486 ","36,793,486 ",2025 UFA
C.J. Stroud,Texans,23,"36,279,246 ","9,069,812 ","36,279,246 ","36,279,246 ",2027 UFA
Zach Wilson,Jets,25,"35,150,680 ","8,787,695 ","35,150,680 ","35,150,680 ",2025 UFA
Trey Lance,Cowboys,24,"34,105,258 ","8,526,315 ","34,105,258 ","34,105,258 ",2025 UFA
Anthony Richardson,Colts,23,"33,994,030 ","8,498,508 ","33,994,030 ","33,994,030 ",2027 UFA
Jacoby Brissett,Patriots,32,"8,000,000 ","8,000,000 ","6,500,000 ","6,500,000 ",2025 UFA
Tua Tagovailoa,Dolphins,26,"30,275,436 ","7,568,859 ","30,275,436 ","30,275,436 ",2025 UFA
Tyrod Taylor,Jets,35,"12,000,000 ","6,000,000 ","8,500,000 ","8,500,000 ",2026 Void
Marcus Mariota,Commanders,31,"6,000,000 ","6,000,000 ","5,390,000 ","5,390,000 ",2025 UFA
Jarrett Stidham,Broncos,28,"10,000,000 ","5,000,000 ","5,000,000 ","5,000,000 ",2025 UFA
Drew Lock,Giants,28,"5,000,000 ","5,000,000 ","4,950,000 ","4,950,000 ",2025 UFA
Andy Dalton,Panthers,37,"10,000,000 ","5,000,000 ","8,000,000 ","8,000,000 ",2025 Void
Justin Fields,Steelers,25,"18,871,952 ","4,717,988 ","18,871,952 ","18,871,952 ",2025 UFA
